pr_id,pr_category,pr_name,pr_cost,pr_rating,pr_description,pr_image
P28,luxury,Italian Clutch Custom,12190,4.2,Indulge in luxury with this italian clutch. Comes in a custom.,data/images/P28.jpg
P190,luxury,Pure Gold Bracelet Diamond,73402,3.4,The ultimate symbol of elegance: pure gold bracelet with diamond setting.,data/images/P190.jpg
P354,electronics,Smart Keyboard RGB,4242,4.6,Get the best in class keyboard. This smart model comes in rgb style.,data/images/P354.jpg
P372,luxury,Pure Gold Gold Necklace Diamond,472064,4.8,The ultimate symbol of elegance: pure gold gold necklace with diamond setting.,data/images/P372.jpg
P122,daily_essential,Strong Mask Roll,295,3.4,Essential mask for your home. This strong version comes in roll.,data/images/P122.jpg
P185,fashion,Classic Sunglasses Black,1769,3.1,Complete your look with this classic sunglasses. Comes in a stunning black color.,data/images/P185.jpg
P379,daily_essential,Refreshing Sanitizer Neem,284,3.9,Keep it fresh with our refreshing sanitizer. Enriched with neem.,data/images/P379.jpg
P161,grocery,Tasty Tea Pack of 3,428,3.5,Enjoy the taste of tasty tea. The pack of 3 is great for sharing.,data/images/P161.jpg
P451,daily_essential,Soft Towel 500ml,570,4.1,Essential towel for your home. This soft version comes in 500ml.,data/images/P451.jpg
P530,daily_essential,Antibacterial Shampoo Large,721,4.9,Keep it fresh with our antibacterial shampoo. Enriched with large.,data/images/P530.jpg
P303,electronics,Gaming Smartphone Fold,119368,4.0,The fold smartphone defines gaming excellence. Perfect for high-end tasks.,data/images/P303.jpg
P49,fashion,Leather Handbag Tan,4276,4.4,This leather handbag is perfect for any occasion. Features tan details.,data/images/P49.jpg
P17,fashion,Waterproof Watch Brown,3185,3.1,This waterproof watch is perfect for any occasion. Features brown details.,data/images/P17.jpg
P13,grocery,Refined Sugar Sack,67,4.3,Quality refined sugar for your daily meals. Comes in a sack pack.,data/images/P13.jpg
P41,grocery,Crunchy Biscuits Family Pack,128,4.3,Enjoy the taste of crunchy biscuits. The family pack is great for sharing.,data/images/P41.jpg
P149,daily_essential,Strong Detergent Box,289,3.2,Essential detergent for your home. This strong version comes in box.,data/images/P149.jpg
P208,daily_essential,Strong Towel 1L,704,4.2,Essential towel for your home. This strong version comes in 1l.,data/images/P208.jpg
